Woord,Vertaling (EN),Betekenis (NL),Voorbeeldzin (NL)
precies,exactly,geheel zoals verwacht of op het juiste moment,"Het was precies de laatste zaterdag van de vakantie."
carnavalvakantie,carnival holiday,de schoolvakantie tijdens carnaval,"Tijdens de carnavalvakantie zijn veel mensen op reis."
skicenter,ski center,plek waar je kunt skiën of snowboarden binnen of buiten,"Montana is een populair skicenter voor gezinnen."
duurde,lasted,hoe lang iets voortduurt,"Het duurde bijna 11 uur voordat we naar huis gingen."
dacht duidelijk,was clear,zonder twijfel zichtbaar of merkbaar,"Het was duidelijk dat hij het leuk vond."
actief bezig,actively engaged,energiek en voortdurend in actie,"Hij was de hele tijd actief bezig op de piste."
voordelen,advantages,positieve kenmerken,"Montana heeft veel voordelen voor gezinnen."
makkelijk bereikbaar,easily accessible,goed en snel te bereiken,"Het skicenter is makkelijk bereikbaar met de auto."
huren,to rent,iets tijdelijk gebruiken tegen betaling,"Je kunt alle ski‑materialen daar huren."
vakantiedag,holiday day,een vrije dag tijdens de vakantie,"Het was een leuke vakantiedag voor ons."
