word, translation, meaning, voorbeeld
dankbaar, thankful/grateful, "blij omdat iemand iets goeds voor je gedaan heeft", "Ik ben je dankbaar voor je hulp"
behouden, preserve/retain, "iets niet verliezen", ""
aangemaakt, created, "vorm van maken", ""
zichtbaar, visible, "Hetgeen men kan zien", "In minder dan een jaar verbeterde het bestaan van het volk zichtbaar"
regelmatig, regular, "op gezette tijden", "Ga je regelmatig naar de tandarts?"
publiceren, publish, "Voor te bereiden en uitgeven voor openbare distributie", "Hoeveel artikelen publiceert u per jaar?"
toevoegen, add, "iets erbij doen zodat het geheel completer wordt", "Ik wil suiker toevoegen aan mijn koffie"
vooruitgang, progress/improvement, "een verbetering", "Dat kan ik niet bespreken, maar er is wel een andere vooruitgang waarover ik je kan vertellen"
bijhouden, "keep up", "iets regelmatig controleren", "Ik moet mijn agenda goed bijhouden"
schrijfvaardigheid, "writing skills", "het vermogen om goed en correct te schrijven", "Goede schrijfvaardigheid is belangrijk voor zakelijke communicatie"
uiteindelijk, finally/ultimately, "ten slotte, op het einde", "We hebben lang gediscussieerd, maar uiteindelijk kwamen we tot een akkoord"
bereiken, reach, "een bepaald punt, doel of persoon succesvol bereiken", "Het team heeft een goed resultaat bereikt"
zinsvolgorde, "sentence order", "volgorde waarin woorden in een zin staan", "De zinsvolgorde in een Nederlandse bijzin is soms lastig voor beginners"
