Woord,Vertaling,Betekenis,Voorbeeldzin
afscheid,farewell,Het moment waarop je weggaat of iets beëindigt,We nemen afscheid van onze vrienden na het feest.
beginnen,to begin,Starten met iets,We beginnen het nieuwe jaar met goede voornemens.
sneeuw,snow,Bevroren water dat als witte vlokken uit de lucht valt,Het bos was bedekt met sneeuw.
sneeuwen,to snow,Wanneer sneeuw uit de lucht valt,Buiten sneeuwt het al sinds vanochtend.
vroeger,in the past,Een tijd die al voorbij is,Vroeger speelde ik vaak in de tuin.
humeur,mood,De stemming waarin iemand zich bevindt,Ze is vandaag in een goed humeur.
sprookjesachtig,fairytale-like,Als iets lijkt op een sprookje,Het landschap was sprookjesachtig mooi.
gereedschap,tool,Voorwerpen die je gebruikt om iets te maken of repareren,We hebben gereedschap nodig om het kasteel te bouwen.
schop,shovel,Gereedschap om te graven of sneeuw te verplaatsen,Ik gebruik een schop om het pad vrij te maken.
mal,mold,Vorm waarin je iets giet of drukt,We gebruiken een mal om een sneeuwblok te maken.
wandeling,walk,Een tocht te voet,We maakten een wandeling door het park.
prachtig,beautiful,Heel mooi,Het uitzicht vanaf de berg was prachtig.
schilderij,painting,Kunstwerk gemaakt met verf,Het schilderij hing in het museum.
voortzetten,to continue,Iets blijven doen,We willen dit project voortzetten in het nieuwe jaar.
gezond,healthy,Zonder ziekte,Ze eet gezond om fit te blijven.
gelukkig,happy,Blij en tevreden,Ik ben gelukkig met mijn nieuwe baan.
succesvol,successful,Met veel succes,Het bedrijf is dit jaar erg succesvol geweest.
